id,cn_code,cn_title,cn_title_display,en_title,slug,page_path,aliases_json,mapped_soc_code,mapped_airs_title,mapping_type,independent_card_flag,priority,status,direction,intro_short,intro_long,why_not_merged,relation_explainer,risk_note,seo_title,seo_description,share_title,share_description,recommended_related_slugs,created_at,updated_at
100001,4-01-06-03,跨境电商运营管理师,跨境电商运营管理师,Cross-Border E-Commerce Operations Manager,cross-border-e-commerce-operations-manager,/china-occupations/cross-border-e-commerce-operations-manager,"[""跨境电商运营管理师"",""跨境电商运营"",""跨境运营"",""跨境店铺运营"",""跨境电商运营经理""]",13-1161.00,市场研究分析师与营销专员,independent_card,true,P0,ready,平台经济,跨境电商运营管理师主要活跃在跨境平台商家与品牌出海团队，负责选品上架、投放增长、订单履约与平台规则协同等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,跨境电商运营管理师通常出现在跨境平台商家、品牌出海团队和代运营公司中，核心工作包括选品上架、平台投放、店铺增长、订单履约和跨境规则协同。虽然它与AIRS中的“市场研究分析师与营销专员”存在局部交叉，但后者主要覆盖市场营销与流量分析的一部分能力，仍不足以表达平台规则适配、跨境物流协同和本地化增长运营。由于该岗位在中国市场已有稳定招聘名称和使用场景，首批补库更适合独立建卡。,如果直接并入AIRS“市场研究分析师与营销专员”，只能表达市场营销与流量分析的一部分能力，无法体现平台规则适配、跨境物流协同和本地化增长运营，前端和用户更容易把该职业理解成普通市场营销专员或传统电商运营。,当前推荐挂靠 AIRS 主职业为市场研究分析师与营销专员（13-1161.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 市场研究分析师与营销专员（13-1161.00）仅用于关系说明和跳转，不代表两者职责等同。,跨境电商运营管理师是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,跨境电商运营管理师主要面向跨境平台商家与品牌出海团队，核心涉及选品上架、投放增长、订单履约与平台规则协同。本页解释它为什么不能简单并入市场研究分析师与营销专员，并提供别名、关系说明和相关推荐。,跨境电商运营管理师是什么职业？为什么要单独展示,跨境电商运营管理师主要活跃在跨境平台商家与品牌出海团队，负责选品上架、投放增长、订单履约与平台规则协同等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""user-growth-operations-specialist"",""on-demand-delivery-rider"",""homestay-steward""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100002,4-07-02-06,用户增长运营师,用户增长运营师,User Growth Operations Specialist,user-growth-operations-specialist,/china-occupations/user-growth-operations-specialist,"[""用户增长运营师"",""增长运营"",""用户增长"",""增长负责人"",""流量增长运营""]",13-1161.00,市场研究分析师与营销专员,independent_card,true,P0,ready,平台经济,用户增长运营师主要活跃在互联网产品与品牌增长团队，负责转化实验、漏斗优化、用户分层和留存提升等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,用户增长运营师通常出现在互联网产品团队、品牌增长团队和平台商业化部门中，核心工作包括用户分层、漏斗优化、增长实验、转化分析和生命周期运营。虽然它与AIRS中的“市场研究分析师与营销专员”存在局部交叉，但后者主要覆盖营销分析与用户研究的一部分能力，仍不足以表达以增长指标为核心的实验机制和数据驱动运营闭环。由于该岗位在中国市场已有稳定招聘名称和使用场景，首批补库更适合独立建卡。,如果直接并入AIRS“市场研究分析师与营销专员”，只能表达营销分析与用户研究的一部分能力，无法体现以增长指标为核心的实验机制和数据驱动运营闭环，前端和用户更容易把该职业理解成普通市场营销专员。,当前推荐挂靠 AIRS 主职业为市场研究分析师与营销专员（13-1161.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 市场研究分析师与营销专员（13-1161.00）仅用于关系说明和跳转，不代表两者职责等同。,用户增长运营师是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,用户增长运营师主要面向互联网产品与品牌增长团队，核心涉及转化实验、漏斗优化、用户分层和留存提升。本页解释它为什么不能简单并入市场研究分析师与营销专员，并提供别名、关系说明和相关推荐。,用户增长运营师是什么职业？为什么要单独展示,用户增长运营师主要活跃在互联网产品与品牌增长团队，负责转化实验、漏斗优化、用户分层和留存提升等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""cross-border-e-commerce-operations-manager"",""on-demand-delivery-rider"",""homestay-steward""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100003,4-10-08-01,网约配送员,网约配送员,On-Demand Delivery Rider,on-demand-delivery-rider,/china-occupations/on-demand-delivery-rider,"[""网约配送员"",""即时配送员"",""同城配送员"",""外卖骑手"",""配送骑手""]",43-5021.00,快递员与信使,independent_card,true,P0,ready,平台经济,网约配送员主要活跃在即时零售与外卖平台履约场景，负责平台接单、即时派送、路线执行和履约交付等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,网约配送员通常出现在外卖平台、即时零售平台和同城配送网络中，核心工作包括平台接单、即时派送、路线执行、用户签收和异常履约处理。它与AIRS中的“快递员与信使”存在部分能力交叉，但后者主要承接一般快递与信使递送的线下交付环节，无法完整表达平台调度、众包规则、时效履约和即时配送场景。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为传统快递员。,如果直接并入AIRS“快递员与信使”，只能表达一般快递与信使递送的线下交付环节，无法体现平台调度、众包规则、时效履约和即时配送场景，前端和用户更容易把该职业理解成传统快递员。,当前推荐挂靠 AIRS 主职业为快递员与信使（43-5021.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 快递员与信使（43-5021.00）仅用于关系说明和跳转，不代表两者职责等同。,网约配送员是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,网约配送员主要面向即时零售与外卖平台履约场景，核心涉及平台接单、即时派送、路线执行和履约交付。本页解释它为什么不能简单并入快递员与信使，并提供别名、关系说明和相关推荐。,网约配送员是什么职业？为什么要单独展示,网约配送员主要活跃在即时零售与外卖平台履约场景，负责平台接单、即时派送、路线执行和履约交付等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""cross-border-e-commerce-operations-manager"",""user-growth-operations-specialist"",""homestay-steward""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100004,4-08-08-23,建筑信息模型技术员,BIM技术员,BIM Technician,bim-technician,/china-occupations/bim-technician,"[""建筑信息模型技术员"",""BIM技术员"",""建筑信息模型师"",""BIM工程师"",""BIM建模师""]",17-3011.00,建筑与土木制图员,independent_card,true,P0,ready,BIM/数字建造,BIM技术员主要活跃在建筑数字化建模与协同场景，负责模型搭建、协同校核、碰撞检查和信息管理等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,BIM技术员通常出现在设计院、施工单位、咨询公司和数字建造平台中，核心工作包括模型搭建、协同校核、碰撞检查、信息管理和交付标准维护。它与AIRS中的“建筑与土木制图员”存在部分能力交叉，但后者主要承接建筑制图与图纸表达的一部分工作，无法完整表达BIM 协同、模型信息治理和多专业联动管理。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为传统建筑与土木制图员。,如果直接并入AIRS“建筑与土木制图员”，只能表达建筑制图与图纸表达的一部分工作，无法体现BIM 协同、模型信息治理和多专业联动管理，前端和用户更容易把该职业理解成传统建筑与土木制图员。,当前推荐挂靠 AIRS 主职业为建筑与土木制图员（17-3011.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 建筑与土木制图员（17-3011.00）仅用于关系说明和跳转，不代表两者职责等同。,BIM技术员是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,BIM技术员主要面向建筑数字化建模与协同场景，核心涉及模型搭建、协同校核、碰撞检查和信息管理。本页解释它为什么不能简单并入建筑与土木制图员，并提供别名、关系说明和相关推荐。,BIM技术员是什么职业？为什么要单独展示,BIM技术员主要活跃在建筑数字化建模与协同场景，负责模型搭建、协同校核、碰撞检查和信息管理等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""cross-border-e-commerce-operations-manager"",""user-growth-operations-specialist"",""on-demand-delivery-rider""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100005,4-09-07-04,碳排放管理员,碳排放管理员,Carbon Emissions Administrator,carbon-emissions-administrator,/china-occupations/carbon-emissions-administrator,"[""碳排放管理员"",""碳管理师"",""碳排放管理"",""碳盘查专员"",""碳核算管理员""]",13-1041.00,合规官,independent_card,true,P0,ready,双碳/绿色经济,碳排放管理员主要活跃在企业碳盘查与履约管理场景，负责碳核算、排放监测、履约管理和数据报送等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,碳排放管理员通常出现在重点排放企业、第三方咨询机构和绿色治理团队中，核心工作包括碳核算、排放监测、履约管理、数据报送和减排台账维护。它与AIRS中的“合规官”存在部分能力交叉，但后者主要承接合规管理中的部分报送与监测环节，无法完整表达碳履约、碳盘查和排放数据治理能力。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为普通合规官或环境专员。,如果直接并入AIRS“合规官”，只能表达合规管理中的部分报送与监测环节，无法体现碳履约、碳盘查和排放数据治理能力，前端和用户更容易把该职业理解成普通合规官或环境专员。,当前推荐挂靠 AIRS 主职业为合规官（13-1041.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 合规官（13-1041.00）仅用于关系说明和跳转，不代表两者职责等同。,碳排放管理员是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,碳排放管理员主要面向企业碳盘查与履约管理场景，核心涉及碳核算、排放监测、履约管理和数据报送。本页解释它为什么不能简单并入合规官，并提供别名、关系说明和相关推荐。,碳排放管理员是什么职业？为什么要单独展示,碳排放管理员主要活跃在企业碳盘查与履约管理场景，负责碳核算、排放监测、履约管理和数据报送等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""carbon-sink-measurement-and-assessment-specialist"",""cross-border-e-commerce-operations-manager"",""user-growth-operations-specialist""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100006,4-04-05-05,人工智能训练师,人工智能训练师,AI Training Specialist,ai-training-specialist,/china-occupations/ai-training-specialist,"[""人工智能训练师"",""AI训练师"",""数据标注师"",""模型训练师"",""人工智能标注师""]",15-2051.00,数据科学家,independent_card,true,P0,ready,AI/数据新职业,人工智能训练师主要活跃在模型训练与数据标注场景，负责训练集构建、标注质检、模型评测和调优反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,人工智能训练师通常出现在大模型团队、智能产品团队和数据标注服务场景中，核心工作包括训练集构建、标注质检、模型评测、反馈优化和训练流程执行。它与AIRS中的“数据科学家”存在部分能力交叉，但后者主要承接数据分析与算法工作中的局部环节，无法完整表达数据标注组织、训练流程协同和模型评测反馈机制。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为数据科学家。,如果直接并入AIRS“数据科学家”，只能表达数据分析与算法工作中的局部环节，无法体现数据标注组织、训练流程协同和模型评测反馈机制，前端和用户更容易把该职业理解成数据科学家。,当前推荐挂靠 AIRS 主职业为数据科学家（15-2051.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 数据科学家（15-2051.00）仅用于关系说明和跳转，不代表两者职责等同。,人工智能训练师是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,人工智能训练师主要面向模型训练与数据标注场景，核心涉及训练集构建、标注质检、模型评测和调优反馈。本页解释它为什么不能简单并入数据科学家，并提供别名、关系说明和相关推荐。,人工智能训练师是什么职业？为什么要单独展示,人工智能训练师主要活跃在模型训练与数据标注场景，负责训练集构建、标注质检、模型评测和调优反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""generative-ai-application-specialist"",""information-security-testing-specialist"",""digital-twin-application-technician""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100007,4-04-05-13,生成式人工智能系统应用员,生成式AI应用员,Generative AI Application Specialist,generative-ai-application-specialist,/china-occupations/generative-ai-application-specialist,"[""生成式人工智能系统应用员"",""生成式AI应用员"",""AIGC应用员"",""生成式AI应用师"",""大模型应用专员"",""AI应用员""]",15-1252.00,软件开发工程师,independent_card,true,P0,ready,AI/数据新职业,生成式AI应用员主要活跃在大模型落地与业务应用场景，负责提示设计、流程接入、业务应用和效果反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,生成式AI应用员通常出现在企业 AI 落地项目、内容生产场景和业务自动化团队中，核心工作包括提示设计、流程接入、业务应用配置、使用反馈和效果优化。它与AIRS中的“软件开发工程师”存在部分能力交叉，但后者主要承接软件开发或系统配置的一部分工作，无法完整表达面向业务落地的大模型应用和场景配置能力。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为普通软件开发工程师。,如果直接并入AIRS“软件开发工程师”，只能表达软件开发或系统配置的一部分工作，无法体现面向业务落地的大模型应用和场景配置能力，前端和用户更容易把该职业理解成普通软件开发工程师。,当前推荐挂靠 AIRS 主职业为软件开发工程师（15-1252.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 软件开发工程师（15-1252.00）仅用于关系说明和跳转，不代表两者职责等同。,生成式AI应用员是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,生成式AI应用员主要面向大模型落地与业务应用场景，核心涉及提示设计、流程接入、业务应用和效果反馈。本页解释它为什么不能简单并入软件开发工程师，并提供别名、关系说明和相关推荐。,生成式AI应用员是什么职业？为什么要单独展示,生成式AI应用员主要活跃在大模型落地与业务应用场景，负责提示设计、流程接入、业务应用和效果反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""ai-training-specialist"",""information-security-testing-specialist"",""digital-twin-application-technician""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
100008,4-04-04-04,信息安全测试员,信息安全测试员,Information Security Testing Specialist,information-security-testing-specialist,/china-occupations/information-security-testing-specialist,"[""信息安全测试员"",""安全测试工程师"",""渗透测试员"",""安全测试专员"",""网络安全测试员""]",15-1212.00,信息安全保卫分析师,independent_card,true,P0,ready,AI/数据新职业,信息安全测试员主要活跃在网络与应用安全测试场景，负责漏洞验证、渗透测试、风险复现和修复反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,信息安全测试员通常出现在安全服务团队、企业安全部门和应用上线测试流程中，核心工作包括漏洞验证、渗透测试、风险复现、修复反馈和安全验收支持。它与AIRS中的“信息安全保卫分析师”存在部分能力交叉，但后者主要承接安全分析中的监测与研判部分，无法完整表达测试验证、攻击模拟和问题复现能力。由于该岗位在中国市场已有稳定招聘名称和独立使用场景，若不独立建卡，前端容易把它误解为普通信息安全分析师。,如果直接并入AIRS“信息安全保卫分析师”，只能表达安全分析中的监测与研判部分，无法体现测试验证、攻击模拟和问题复现能力，前端和用户更容易把该职业理解成普通信息安全分析师。,当前推荐挂靠 AIRS 主职业为信息安全保卫分析师（15-1212.00），用于帮助用户理解能力邻近关系和后续跳转，不代表 AIRS 已完整覆盖该中国职业。,页面不要把该职业写成 AIRS 已独立覆盖的职业；推荐挂靠 信息安全保卫分析师（15-1212.00）仅用于关系说明和跳转，不代表两者职责等同。,信息安全测试员是什么职业？工作内容、别名与 AIRS 关系 | AIRS 中国职业层,信息安全测试员主要面向网络与应用安全测试场景，核心涉及漏洞验证、渗透测试、风险复现和修复反馈。本页解释它为什么不能简单并入信息安全保卫分析师，并提供别名、关系说明和相关推荐。,信息安全测试员是什么职业？为什么要单独展示,信息安全测试员主要活跃在网络与应用安全测试场景，负责漏洞验证、渗透测试、风险复现和修复反馈等工作，用户搜索心智独立，适合在中国职业层首批独立上线。,"[""ai-training-specialist"",""generative-ai-application-specialist"",""digital-twin-application-technician""]",2026-04-14T00:00:00+08:00,2026-04-14T00:00:00+08:00
